iter	Logloss
0	0.6890054878
1	0.6846131969
2	0.6804914931
3	0.676858035
4	0.6734209785
5	0.6698900744
6	0.6658691753
7	0.6623372249
8	0.6592916536
9	0.6550546458
10	0.6513050668
11	0.6474304057
12	0.6443648248
13	0.6413099095
14	0.6378057637
15	0.634134819
16	0.6314355624
17	0.6280521633
18	0.62486302
19	0.6216453515
20	0.6188197841
21	0.6165521856
22	0.6137655104
23	0.6112593034
24	0.609560944
25	0.607513233
26	0.6052357551
27	0.6026295344
28	0.6009069306
29	0.5985098565
30	0.596277785
31	0.5942721186
32	0.5918801652
33	0.5894352527
34	0.5871810612
35	0.583976874
36	0.581712761
37	0.5799855483
38	0.5780416496
39	0.5757911895
40	0.5739925953
41	0.5720063343
42	0.5700623067
43	0.5679867569
44	0.5656384789
45	0.5640701926
46	0.5620083126
47	0.559941118
48	0.558535115
49	0.5566332556
50	0.5552592271
51	0.5537208848
52	0.5523827586
53	0.5502290548
54	0.5481282976
55	0.5461896435
56	0.5445678611
57	0.5432178107
58	0.5411770018
59	0.5393135421
60	0.5376710984
61	0.536381123
62	0.5352263105
63	0.5335167145
64	0.5321045863
65	0.5307215466
66	0.5293023068
67	0.5277122694
68	0.5257954461
69	0.5244242566
70	0.5232935784
71	0.52233638
72	0.5210848685
73	0.5190078578
74	0.5178189451
75	0.5166117512
76	0.5152286167
77	0.5137386018
78	0.5119828264
79	0.511172786
80	0.509929372
81	0.5086674432
82	0.5074388742
83	0.5063049837
84	0.5054766346
85	0.5039925711
86	0.5026967255
87	0.5013233311
88	0.5004255638
89	0.4993716659
90	0.4984287083
91	0.4973399777
92	0.496100829
93	0.4951455411
94	0.4940966364
95	0.4932431871
96	0.4922271939
97	0.4911771746
98	0.4902234935
99	0.4889554412
100	0.4880091043
101	0.4872309167
102	0.4865889165
103	0.4857145761
104	0.4849015605
105	0.4841128882
106	0.4831137994
107	0.4819671903
108	0.481218137
109	0.4800096208
110	0.4791977363
111	0.478662788
112	0.4779284304
113	0.4770942581
114	0.476232648
115	0.4750692405
116	0.4741371085
117	0.4736050784
118	0.4728888631
119	0.4720633656
120	0.4710847714
121	0.4703315955
122	0.4695609448
123	0.4690202007
124	0.4682594729
125	0.4672909844
126	0.466481556
127	0.4657280982
128	0.4647136029
129	0.4640041528
130	0.4631656582
131	0.4619784696
132	0.461191198
133	0.4604846543
134	0.459789966
135	0.4589145201
136	0.4581310466
137	0.4574109398
138	0.4566892751
139	0.4559131656
140	0.4555614668
141	0.4547527608
142	0.4540145241
143	0.4533911271
144	0.4527307615
145	0.4521928925
146	0.4517100046
147	0.4511599912
148	0.450602659
149	0.4499023506
150	0.4492444422
151	0.4486924784
152	0.4480149358
153	0.4470594708
154	0.4465005067
155	0.4459311601
156	0.445298153
157	0.4448971373
158	0.4445298512
159	0.4439656704
160	0.4432547747
161	0.4428010141
162	0.4420938983
163	0.4414749065
164	0.4408227428
165	0.4401851168
166	0.4392148385
167	0.43822976
168	0.4377093983
169	0.4369650828
170	0.4364050063
171	0.4357778001
172	0.435087973
173	0.4345476751
174	0.433807647
175	0.4334045313
176	0.4329574963
177	0.4322432887
178	0.4317577711
179	0.4312652355
180	0.4305085572
181	0.4298554214
182	0.4294337322
183	0.4286689986
184	0.428289956
185	0.42778274
186	0.4271383078
187	0.4264721545
188	0.4260573102
189	0.4254907234
190	0.42500707
191	0.4247090589
192	0.4240177053
193	0.4236705409
194	0.4229838209
195	0.4226448814
196	0.4219941102
197	0.4215532431
198	0.4209865375
199	0.4206345244
200	0.4204092061
201	0.4198164435
202	0.4194943481
203	0.4192007082
204	0.4186901887
205	0.4181620054
206	0.4178785792
207	0.4173608891
208	0.4168176964
209	0.4163179217
210	0.4160455262
211	0.4156008633
212	0.4153193418
213	0.41484553
214	0.414324633
215	0.4138617222
216	0.4132739435
217	0.412750647
218	0.4122060031
219	0.4113549389
220	0.4108671323
221	0.4104237943
222	0.4101437051
223	0.4095683915
224	0.4089053461
225	0.4085758135
226	0.4080956447
227	0.4077262733
228	0.407056496
229	0.4064388814
230	0.4061430776
231	0.4057976276
232	0.4055257903
233	0.4049081922
234	0.4045428877
235	0.4041636926
236	0.4037057614
237	0.4030392075
238	0.4025189351
239	0.401882666
240	0.4015526812
241	0.4011348808
242	0.4006275743
243	0.4003517668
244	0.4000062749
245	0.399511801
246	0.3990524535
247	0.3983872047
248	0.3981210909
249	0.39778798249250	0.39753670250251	0.3970834491
252	0.3969359888
253	0.3965365168
254	0.3961967067
255	0.39560618255256	0.3952796256	257	0.3948067257	258	0.3945263258	259	0.3942117259	260	0.3938908260	261	0.3935367261	262	0.3931300262	263	0.3927460263	264	0.3924903264	265	0.3922163265	266	0.3918868266	267	0.3914605267	268	0.3912628268	269	0.3909184269	270	0.3905204270	271	0.3900664271	272	0.3897047272	273	0.3895141273	274	0.3891789274	275	0.3889750275	276	0.3885366276277	0.38800597277278	0.38761863278279	0.38724429279280	0.38681690280281	0.38667964281282	0.38647668282283	0.3860189428284	0.38565665528285	0.38530840328286	0.38487478428287	0.38436440328288	0.3840073922289	0.38373776662290	0.38345506282291	0.38336233682292	0.38275220662293	0.38233851432294	0.381991696
295	0.3817190708
296	0.3814586322
297	0.3809791277
298	0.3807227718
299	0.3804749061
300	0.3802058678
301	0.3800005518
302	0.3797446657
303	0.3792954896
304	0.379039343
305	0.3788103186
306	0.3785801039
307	0.3783701052
308	0.3781472954
309	0.3778393215
310	0.3775945538
311	0.3772835177
312	0.3770822944
313	0.3768745292
314	0.3766667885
315	0.3764507375
316	0.376305591
317	0.3760385741
318	0.3758793329
319	0.3755551362
320	0.3752103268
321	0.3748547852
322	0.3745127746
323	0.3742727167
324	0.37379743743325	0.37350539073326	0.373149346
327	0.3729449723
328	0.3727545541
329	0.3723891601
330	0.3722306394
331	0.3717740938
332	0.3715077245
333	0.3713217004
334	0.3709605625
335	0.370776442
336	0.3703084245
337	0.3699578992
338	0.3697503306
339	0.3695285323
340	0.3693841088
341	0.3691101134
342	0.3689031365
343	0.368543103
344	0.3684167458
345	0.3680478103
346	0.3677280743
347	0.3671932483
348	0.3668257332
349	0.3666005765
350	0.3663468821
351	0.3661111452
352	0.3656564172
353	0.3653114554
354	0.3650398204
355	0.3646790987
356	0.3644722331
357	0.3639825391
358	0.3638720326
359	0.3636259491
360	0.3634383471
361	0.3628742812
362	0.3625749346
363	0.3624231651
364	0.3621157037
365	0.3617267239
366	0.3614929972
367	0.3613043773
368	0.3609648954
369	0.3606366907
370	0.3603547286
371	0.3600840955
372	0.3596747933
373	0.3593913731
374	0.3587695204
375	0.3584529318
376	0.3582139759
377	0.3580777886
378	0.3578359476
379	0.3576172192
380	0.3572169283
381	0.3569459137
382	0.3568840263
383	0.3567820006
384	0.3566566579
385	0.3563438614
386	0.3560125857
387	0.3555735547
388	0.3553318929
389	0.35497975743390	0.35437620533391	0.35423443033392	0.35402458413393	0.353707448
394	0.353481072
395	0.3530650059
396	0.352752044
397	0.3524424003
398	0.3523332365
399	0.3520392751
400	0.3515080584
401	0.3512565514
402	0.3508982085
403	0.3506126664
404	0.3501155213
405	0.3497574001
406	0.349576456
407	0.3494404152
408	0.3491832033
409	0.3491194696
410	0.3487525482
411	0.3485931153
412	0.3484572864
413	0.3481722093
414	0.347903008
415	0.3475259017
416	0.3471962564
417	0.3469994327
418	0.3465481942
419	0.3462359275
420	0.3459558866
421	0.3457489647
422	0.3456382831
423	0.3454492063
424	0.3453341995
425	0.345045809
426	0.3447039133
427	0.3444183511
428	0.3441158497
429	0.3437483383
430	0.3435538646
431	0.3433850456
432	0.3431304019
433	0.3429105929
434	0.3425735461
435	0.3422650086
436	0.3421092625
437	0.3417489922
438	0.34159438954439	0.34138897124440	0.34116200954441	0.34101580364442	0.34074057414443	0.34047167644444	0.34002960244445	0.33967228044446	0.33941297244447	0.33919905447448	0.33887164448449	0.338369094450	0.338248264
451	0.3381084288
452	0.3378887016
453	0.3376495906
454	0.3372562513
455	0.3370552968
456	0.3368949109
457	0.3367154097
458	0.3362765819
459	0.3361044646
460	0.3359294335
461	0.33546566
462	0.3352326333
463	0.3349689593
464	0.3348143595
465	0.3346155208
466	0.3342987578
467	0.33400870284468	0.33377267264469	0.33331651074470	0.33302964744471	0.33295686954472	0.33280437994473	0.33255017114474	0.33210994544475	0.3319797
476	0.3314808104
477	0.3310928133
478	0.3309211061
479	0.3305968282
480	0.3303941906
481	0.3301610461
482	0.3297697589
483	0.329657254
484	0.3295108995
485	0.3292013277
486	0.3289870028
487	0.3287512651
488	0.3284953109
489	0.3282502515
490	0.3280336254
491	0.3278009436
492	0.327495471
493	0.3272009594
494	0.3269714387
495	0.3267297513
496	0.3264664679
497	0.3261211539
498	0.3259197466
499	0.3258624132
500	0.3255756955
501	0.3250063131
502	0.3247983745
503	0.3243635569
504	0.324012187
505	0.3238935743
506	0.3236407895
507	0.3234215593
508	0.3232224989
509	0.3230426563
510	0.3228416376
511	0.322678361
512	0.3223924273
513	0.3220933357
514	0.3218801313
515	0.3214522537
516	0.3213273171
517	0.3209500026
518	0.320651737
519	0.3203431874
520	0.3199093981
521	0.3196662165
522	0.3194265648
523	0.3192030961
524	0.3189116114
525	0.3187081297
526	0.3185454572
527	0.3185288123
528	0.3181199098
529	0.3179003748
530	0.317542068
531	0.3173997089
532	0.3172563624
533	0.3169322905
534	0.316534603
535	0.3163669158
536	0.3160613337
537	0.3158313804
538	0.3155539857
539	0.3153360969
540	0.3150057543
541	0.3148343318
542	0.3144204555
543	0.3143285832
544	0.314102334
545	0.313808825
546	0.3134514554
547	0.3130435762
548	0.3128828186
549	0.3127034499
550	0.31248289
551	0.3122289764
552	0.3119871689
553	0.3118338031
554	0.3115550272
555	0.311374884
556	0.3111570295
557	0.3110538264
558	0.3108802202
559	0.3106835298
560	0.3105582488
561	0.3105143415
562	0.3101926641
563	0.3100287412
564	0.3098095156
565	0.3096742992
566	0.3094732208
567	0.3091678102
568	0.3089276337
569	0.3086775908
570	0.308571074
571	0.3083377714
572	0.3080627946
573	0.3077695106
574	0.3075736897
575	0.3072520138
576	0.3072172892
577	0.3070520539
578	0.3067189231
579	0.3065034679
580	0.3063675106
581	0.3059709534
582	0.3058888084
583	0.3056068707
584	0.3053833478
585	0.3052580936
586	0.3049511143
587	0.3048226669
588	0.3043874067
589	0.3042377072
590	0.3041321062
591	0.3039217024
592	0.3038719281
593	0.3034851046
594	0.3032708531
595	0.3027231431
596	0.3025121752
597	0.3023073431
598	0.3021217598
599	0.3018167363
600	0.3014384805
601	0.3011901832
602	0.3009001499
603	0.3007624874
604	0.3006451657
605	0.300260813
606	0.2999986329
607	0.2997685422
608	0.2994200701
609	0.2992947431
610	0.2990124198
611	0.2987132555
612	0.2985755652
613	0.2983390235
614	0.2982253453
615	0.2981625222
616	0.2979053596
617	0.2978626299
618	0.2975672049
619	0.2974077086
620	0.2970269562
621	0.2969737027
622	0.2968400247
623	0.296701311
624	0.2961970375
625	0.2960038863
626	0.2957347239
627	0.295468623
628	0.2951450899
629	0.2949881667
630	0.2946989392
631	0.2946078317
632	0.2941734487
633	0.2939777172
634	0.2939357418
635	0.29366371
636	0.2933731619
637	0.293241539
638	0.292967166
639	0.2927845944
640	0.2925501263
641	0.2922471072
642	0.2920791963
643	0.2919078162
644	0.2918146915
645	0.2916571166
646	0.2914540352
647	0.2912589233
648	0.2909014951
649	0.2908122936
650	0.2904403913
651	0.290220194
652	0.2898816639
653	0.2896608124
654	0.289436374
655	0.2892122737
656	0.2889675281
657	0.2887086983
658	0.2885507685
659	0.2883364859
660	0.2882880557
661	0.2880786875
662	0.2878322067
663	0.2873939891
664	0.2870052762
665	0.2867837524
666	0.2865348523
667	0.2863889354
668	0.2860703664
669	0.2858472824
670	0.2856747285
671	0.2854702171
672	0.2852539155
673	0.2850052357
674	0.2847983608
675	0.2845715628
676	0.2844670135
677	0.2841727158
678	0.284069323
679	0.2837415353
680	0.2835591458
681	0.2831774703
682	0.2830071957
683	0.2828778976
684	0.2827727251
685	0.2823813272
686	0.2822065618
687	0.2820871013
688	0.2819322262
689	0.2816781529
690	0.2813790095
691	0.2810443319
692	0.2808810763
693	0.2808362648
694	0.2806865877
695	0.2804429932
696	0.2801627624
697	0.2799509621
698	0.2798670549
699	0.2796329944
700	0.2793688194
701	0.2791524925
702	0.2789913155
703	0.2789084547
704	0.2785366573
705	0.2783534311
706	0.2780063254
707	0.2777401202
708	0.2776415916
709	0.2774315925
710	0.2770297929
711	0.2768449715
712	0.2766922946
713	0.2764657418
714	0.2762454813
715	0.2760906911
716	0.2758452121
717	0.2756462586
718	0.2756101622
719	0.2754124602
720	0.275123495
721	0.2747750404
722	0.2747120267
723	0.2743761076
724	0.2743480802
725	0.274095148
726	0.2739533563
727	0.2736926274
728	0.2735116259
729	0.2734018769
730	0.2732843209
731	0.2728928933
732	0.2725732783
733	0.2723936604
734	0.2720335167
735	0.2717254183
736	0.2716470941
737	0.2713574226
738	0.2710828725
739	0.2709768965
740	0.2705317512
741	0.270190013
742	0.2699419986
743	0.2698824548
744	0.2695440854
745	0.2694829868
746	0.2691391784
747	0.2690078472
748	0.2689575831
749	0.2688319522
750	0.2687198621
751	0.2684535958
752	0.2681163985
753	0.2679191189
754	0.2676566598
755	0.2673996931
756	0.2671665091
757	0.2669809143
758	0.2665491205
759	0.2664565245
760	0.2663009586
761	0.2661992318
762	0.2660291267
763	0.2656827731
